feature,mean_abs_coef
erbb2,0.3265890357572578
cdk1,0.3112160096319372
egfr,0.3106575859440149
mmp7,0.2634633790078573
ccnb1,0.24659709927243537
folr1,0.24285158942468188
spry2,0.23950134488476724
kit,0.2391214496899372
mmp10,0.22868766514105146
mapk8,0.22541091472708918
ugt2b7,0.22532680223885318
jak2,0.22473304643739167
rictor,0.22405033276300088
cyp3a4,0.2213296522952516
mmp16,0.22113097904760873
arid2,0.2185754516558299
cyp11a1,0.21842837898565917
e2f2,0.217897579179572
psen2,0.21776534178736126
spaca1,0.2165554118364075
