feature,importance
egfr,0.020825880663336335
gata3,0.020727592232976058
aurka,0.01935282678651587
cdk1,0.018468472383680275
chek1,0.013184774112623523
e2f2,0.012108153286809795
ccnb1,0.011953935982094871
igf1r,0.011705123069379809
bcl2,0.011283910499974119
mapt,0.011065853097192218
ccne1,0.010449331498835897
cdc25a,0.009872298363498002
tgfbr2,0.009376055675115055
erbb2,0.009122475364106025
ar,0.0090245004796763
e2f7,0.00863093876912136
csf1r,0.00787676616781132
aph1b,0.007274361356373501
erbb3,0.007017751825824306
ttyh1,0.00700654455473783
